"HyperLynx Oscilloscope .CSV file"

"Design file: IFA_ESP32.HYP         Designer: Joshua Anthony"
"Created on: 08 March 2025   Time: 09:25:40"
"Created by: HyperLynx VX2.10 build 19246144"
"Comment: "
"Probe 1: U2.1 (at pin)"
"Probe 2: ANT1.1 (at pin)"
"Probe 3: C16.2 (at pin)"
"Probe 4: C18.2 (at pin)"
"Probe 5: L3.1 (at pin)"
"Probe 6: L3.2 (at pin)"
"","Time","Probe V V [U2.1 (at pin)]","Probe V V [ANT1.1 (at pin)]","Probe V V [C16.2 (at pin)]","Probe V V [C18.2 (at pin)]","Probe V V [L3.1 (at pin)]","Probe V V [L3.2 (at pin)]"
"","   0.0000000e-10","4.524519e-09","9.999903e-09","4.524519e-09","4.524519e-09","4.524519e-09","4.524519e-09"
"","   0.9777126e-10","0.0003953931","9.999903e-09","7.741559e-06","0.0001014939","2.143632e-05","8.165953e-05"
"","   1.9554253e-10","0.008606227","9.999903e-09","0.0007656601","0.004516294","0.00134432","0.003817159"
"","   2.9331379e-10","0.0304823","9.999903e-09","0.007122952","0.02187963","0.009433893","0.01923077"
"","   3.9108505e-10","0.07315729","9.999903e-09","0.02909768","0.05897662","0.03379189","0.05365617"
"","   4.8885634e-10","0.1419169","9.999903e-09","0.07950361","0.1228198","0.08631677","0.1151254"
"","   5.8662758e-10","0.2426405","9.999903e-09","0.1675671","0.2194624","0.1757301","0.2102379"
"","   6.8439887e-10","0.380647","9.999903e-09","0.298995","0.3550924","0.307819","0.3451117"
"","   7.8217011e-10","0.5594878","9.999903e-09","0.4764161","0.5333593","0.4853751","0.5232225"
"","   8.7994140e-10","0.7808494","9.999903e-09","0.7007191","0.7556433","0.7093638","0.7458622"
"","   9.7771269e-10","1.036419","9.999903e-09","0.9682066","1.016304","0.9757903","1.00776"
"","  10.7548392e-10","1.31842","9.999903e-09","1.271225","1.304227","1.276434","1.298352"
"","  11.7325516e-10","1.61914","9.999903e-09","1.596705","1.611514","1.599049","1.608847"
"","  12.7102640e-10","1.935903","9.999903e-09","1.930743","1.932393","1.931011","1.932039"
"","  13.6879774e-10","2.261873","9.999903e-09","2.264574","2.261378","2.264084","2.261897"
